idspecies,ideunis,sourceid,habitat,level,belongsto,notes
4793,G1,141,Broadleaved deciduous woodland,2,G,
4793,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4793,J,,"Constructed, industrial and other artificial habitats",1,,
4802,J,363,"Constructed, industrial and other artificial habitats",1,,
4805,B,273,Coastal habitats,1,,
4805,E,328,Grassland and tall forb habitats,1,,
4805,I,329,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4805,I1,107,Arable land and market gardens,2,I,
4805,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
4805,J,76,"Constructed, industrial and other artificial habitats",1,,Ruderal
4805,J4,107,Transport networks and other constructed hard-surfaced areas,2,J,ruderals
4819,J,745,"Constructed, industrial and other artificial habitats",1,,
4819,X25,745,Domestic gardens of villages and urban peripheries,2,X,
4823,B,162,Coastal habitats,1,,
4823,B1,328,Coastal dunes and sandy shores,2,B,
4823,D6,,Inland saline and brackish marshes and reedbeds,2,D,saltmarsh
4823,X3,427,Brackish coastal lagoons,2,AA,saltmarsh
4829,A,,Marine habitats,1,,marine
4829,D,329,"Mire, bog and fen habitats",1,,
4832,8,,Brackish littoral hard,2,AA,brackish littoral soft
4832,A,,Marine habitats,1,,marine
4832,B,328,Coastal habitats,1,,
4832,D6,,Inland saline and brackish marshes and reedbeds,2,D,saltmarsh
4832,E3,,Seasonally wet and wet grasslands,2,E,wetlands
4832,X3,425,Brackish coastal lagoons,2,AA,brackish littoral soft
4837,A,,Marine habitats,1,,marine
4837,D6,272,Inland saline and brackish marshes and reedbeds,2,D,
4837,J1,142,"Buildings of cities, towns and villages",2,J,
4838,X3,427,Brackish coastal lagoons,2,AA,saltmarsh
4840,A,,Marine habitats,1,,marine
4840,D,329,"Mire, bog and fen habitats",1,,
4840,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4841,C1,,Surface standing waters,2,C,lentic
4841,X3,427,Brackish coastal lagoons,2,AA,wetlands
4843,B1,333,Coastal dunes and sandy shores,2,B,
4843,X2,333,Saline coastal lagoons,2,X,
4847,E,333,Grassland and tall forb habitats,1,,"pastures, cultivated ground, roadsides, ravines."
4847,I,336,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4847,J,336,"Constructed, industrial and other artificial habitats",1,,
4855,J,363,"Constructed, industrial and other artificial habitats",1,,
4855,J4,328,Transport networks and other constructed hard-surfaced areas,2,J,
4855,J6,328,Waste deposits,2,J,
4863,B3,191,"Rock cliffs, ledges and shores, including the supralittoral ",2,B,"Dry, sandy dune grassland near coast"
4865,F9,107,Riverine and fen scrubs,2,F,
4865,H5,107,Miscellaneous inland habitats with very sparse or no vegetation,2,H,causeways
4865,J,162,"Constructed, industrial and other artificial habitats",1,,
4865,J2,288,Low density buildings,2,J,wall flora
4865,J4,197,Transport networks and other constructed hard-surfaced areas,2,J,roadsides sprayed with herbicides
4878,J,363,"Constructed, industrial and other artificial habitats",1,,
4882,C,162,Inland surface water habitats,1,,
4882,J,363,"Constructed, industrial and other artificial habitats",1,,
4891,B,107,Coastal habitats,1,,coastal areas
4891,B1,379,Coastal dunes and sandy shores,2,B,
4891,C,336,Inland surface water habitats,1,,
4891,E6,107,Inland salt steppes,2,E,
4891,G4,379,Mixed deciduous and coniferous woodland,2,G,
4891,I,300,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4891,J,329,"Constructed, industrial and other artificial habitats",1,,
4891,J1,379,"Buildings of cities, towns and villages",2,J,
4891,J4,379,Transport networks and other constructed hard-surfaced areas,2,J,
4891,J5,379,Highly artificial man-made waters and associated structures,2,J,
4909,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
4909,J,451,"Constructed, industrial and other artificial habitats",1,,Urban areas
4919,I,142,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4919,I2,197,Cultivated areas of gardens and parks,2,I,ornamental gardens
4926,J,329,"Constructed, industrial and other artificial habitats",1,,
4929,H2,328,Screes,2,H,
4935,B,446,Coastal habitats,1,,Coastland
4935,I1,446,Arable land and market gardens,2,I,Agricultural areas
4935,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed areas
4935,J,446,"Constructed, industrial and other artificial habitats",1,,Urban areas
4937,B,446,Coastal habitats,1,,Coastland
4937,I1,446,Arable land and market gardens,2,I,Agricultural areas
4937,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed areas
4937,J,446,"Constructed, industrial and other artificial habitats",1,,Urban areas
4949,E,363,Grassland and tall forb habitats,1,,
4949,E2,328,Mesic grasslands,2,E,
4949,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
4949,F,328,"Heathland, scrub and tundra habitats",1,,
4949,I,363,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4949,I5,412,,,,
4949,J,363,"Constructed, industrial and other artificial habitats",1,,
4961,X25,745,Domestic gardens of villages and urban peripheries,2,X,
4970,C3,412,Littoral zone of inland surface waterbodies,2,C,
4970,E1,412,Dry grasslands,2,E,
4970,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
4970,G1,64,Broadleaved deciduous woodland,2,G,
4970,H3,191,"Inland cliffs, rock pavements and outcrops",2,H,Volcanic rock
4970,H5,412,Miscellaneous inland habitats with very sparse or no vegetation,2,H,
4970,H6,,Recent volcanic features,2,H,
4970,I,363,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4970,I1,32,Arable land and market gardens,2,I,waste and disturbed ground
4970,I5,412,,,,
4970,J,363,"Constructed, industrial and other artificial habitats",1,,
4970,J1,427,"Buildings of cities, towns and villages",2,J,
4970,J4,329,Transport networks and other constructed hard-surfaced areas,2,J,
4970,J6,427,Waste deposits,2,J,
4981,I,363,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4981,J,363,"Constructed, industrial and other artificial habitats",1,,
4983,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
4983,I1,191,Arable land and market gardens,2,I,Abandoned fields
4983,I5,412,,,,
4983,J4,329,Transport networks and other constructed hard-surfaced areas,2,J,
4986,E2,191,Mesic grasslands,2,E,"Sandy places, fallow fields"
4986,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4986,I1,379,Arable land and market gardens,2,I,
4986,J2,379,Low density buildings,2,J,
4986,J4,379,Transport networks and other constructed hard-surfaced areas,2,J,
4989,I,363,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4989,J,363,"Constructed, industrial and other artificial habitats",1,,
4989,J4,329,Transport networks and other constructed hard-surfaced areas,2,J,
4991,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
4991,I5,412,,,,
4991,J4,329,Transport networks and other constructed hard-surfaced areas,2,J,
4993,I,363,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4993,J,363,"Constructed, industrial and other artificial habitats",1,,
4993,J4,329,Transport networks and other constructed hard-surfaced areas,2,J,
4995,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
4995,I,363,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
4995,I5,412,,,,
4995,J,363,"Constructed, industrial and other artificial habitats",1,,
4995,J2,288,Low density buildings,2,J,wall flora
4995,J4,329,Transport networks and other constructed hard-surfaced areas,2,J,
4999,J4,197,Transport networks and other constructed hard-surfaced areas,2,J,roadsides sprayed with herbicides
5002,G,,Woodland and forest habitats and other wooded land,1,,
5002,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5002,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5002,J,,"Constructed, industrial and other artificial habitats",1,,
5005,C,,Inland surface water habitats,1,,
5005,E1,412,Dry grasslands,2,E,
5005,E2,412,Mesic grasslands,2,E,
5005,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
5005,G,,Woodland and forest habitats and other wooded land,1,,
5005,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5005,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5008,C,,Inland surface water habitats,1,,
5008,D,,"Mire, bog and fen habitats",1,,
5008,G,,Woodland and forest habitats and other wooded land,1,,
5008,J,76,"Constructed, industrial and other artificial habitats",1,,Ruderal
5011,E,,Grassland and tall forb habitats,1,,
5011,F,,"Heathland, scrub and tundra habitats",1,,
5011,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5013,C,,Inland surface water habitats,1,,
5013,D,,"Mire, bog and fen habitats",1,,
5015,C,,Inland surface water habitats,1,,
5015,E,,Grassland and tall forb habitats,1,,
5015,F,,"Heathland, scrub and tundra habitats",1,,
5015,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5017,I,336,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5022,C,,Inland surface water habitats,1,,
5023,E1,333,Dry grasslands,2,E,"dry pastures, rocks, slopes."
5032,B,,Coastal habitats,1,,Coastland
5032,C,,Inland surface water habitats,1,,
5032,E,,Grassland and tall forb habitats,1,,
5032,E1,412,Dry grasslands,2,E,
5032,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
5032,H5,412,Miscellaneous inland habitats with very sparse or no vegetation,2,H,
5032,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5032,I1,233,Arable land and market gardens,2,I,Agricultural areas
5032,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
5032,J,451,"Constructed, industrial and other artificial habitats",1,,Urban areas
5041,C,,Inland surface water habitats,1,,
5041,D,,"Mire, bog and fen habitats",1,,
5042,J1,328,"Buildings of cities, towns and villages",2,J,
5055,G,,Woodland and forest habitats and other wooded land,1,,
5055,G,,Woodland and forest habitats and other wooded land,1,,
5055,J,,"Constructed, industrial and other artificial habitats",1,,
5064,C,,Inland surface water habitats,1,,
5064,C,,Inland surface water habitats,1,,
5064,D,329,"Mire, bog and fen habitats",1,,
5064,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
5064,I,363,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5064,I5,412,,,,
5064,J,363,"Constructed, industrial and other artificial habitats",1,,
5064,J1,427,"Buildings of cities, towns and villages",2,J,
5067,C3,747,Littoral zone of inland surface waterbodies,2,C,
5067,F,,"Heathland, scrub and tundra habitats",1,,
5067,G,,Woodland and forest habitats and other wooded land,1,,
5068,C3,765,Littoral zone of inland surface waterbodies,2,C,
5068,E,,Grassland and tall forb habitats,1,,
5068,G,,Woodland and forest habitats and other wooded land,1,,
5068,J,,"Constructed, industrial and other artificial habitats",1,,
5071,G,,Woodland and forest habitats and other wooded land,1,,
5071,G,,Woodland and forest habitats and other wooded land,1,,
5074,F,,"Heathland, scrub and tundra habitats",1,,
5074,G,,Woodland and forest habitats and other wooded land,1,,
5076,C3,427,Littoral zone of inland surface waterbodies,2,C,"river banks, wetlands"
5076,D5,427,"Sedge and reedbeds, normally without free-standing water",2,D,"river banks, wetlands"
5079,E,,Grassland and tall forb habitats,1,,
5079,G,,Woodland and forest habitats and other wooded land,1,,
5079,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5079,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5081,C,,Inland surface water habitats,1,,
5081,G,,Woodland and forest habitats and other wooded land,1,,
5081,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5086,D,363,"Mire, bog and fen habitats",1,,
5086,E2,328,Mesic grasslands,2,E,
5086,E3,,Seasonally wet and wet grasslands,2,E,
5086,J,,"Constructed, industrial and other artificial habitats",1,,
5086,J4,328,Transport networks and other constructed hard-surfaced areas,2,J,
5091,C,,Inland surface water habitats,1,,
5091,C1,328,Surface standing waters,2,C,
5091,F,,"Heathland, scrub and tundra habitats",1,,
5091,J,363,"Constructed, industrial and other artificial habitats",1,,
5093,E,,Grassland and tall forb habitats,1,,
5093,G,,Woodland and forest habitats and other wooded land,1,,
5094,G,,Woodland and forest habitats and other wooded land,1,,
5095,C,336,Inland surface water habitats,1,,
5095,I,336,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5099,D,222,"Mire, bog and fen habitats",1,,
5099,E,,Grassland and tall forb habitats,1,,
5099,F,,"Heathland, scrub and tundra habitats",1,,
5099,G,,Woodland and forest habitats and other wooded land,1,,
5099,I1,107,Arable land and market gardens,2,I,rice fields
5099,J4,107,Transport networks and other constructed hard-surfaced areas,2,J,ruderals
5107,C,,Inland surface water habitats,1,,
5107,D,,"Mire, bog and fen habitats",1,,
5107,E,,Grassland and tall forb habitats,1,,
5108,G,,Woodland and forest habitats and other wooded land,1,,
5110,C1,,Surface standing waters,2,C,lentic (wetlands)
5110,C3,427,Littoral zone of inland surface waterbodies,2,C,wetlands
5110,D5,427,"Sedge and reedbeds, normally without free-standing water",2,D,wetlands
5110,E3,,Seasonally wet and wet grasslands,2,E,lentic (wetlands)
5110,F,,"Heathland, scrub and tundra habitats",1,,
5110,G,,Woodland and forest habitats and other wooded land,1,,
5111,E,,Grassland and tall forb habitats,1,,
5111,G,,Woodland and forest habitats and other wooded land,1,,
5111,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5111,I,336,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5113,F,,"Heathland, scrub and tundra habitats",1,,
5113,G,,Woodland and forest habitats and other wooded land,1,,
5113,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5116,G,,Woodland and forest habitats and other wooded land,1,,
5116,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5117,G,,Woodland and forest habitats and other wooded land,1,,
5118,A,,Marine habitats,1,,
5118,B,,Coastal habitats,1,,
5118,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5121,C,,Inland surface water habitats,1,,
5121,C,,Inland surface water habitats,1,,
5121,C1,412,Surface standing waters,2,C,
5121,C3,412,Littoral zone of inland surface waterbodies,2,C,
5121,D,162,"Mire, bog and fen habitats",1,,
5121,D5,412,"Sedge and reedbeds, normally without free-standing water",2,D,
5121,D6,412,Inland saline and brackish marshes and reedbeds,2,D,
5121,E,,Grassland and tall forb habitats,1,,
5121,E,446,Grassland and tall forb habitats,1,,Grasslands
5121,E1,412,Dry grasslands,2,E,
5121,E2,427,Mesic grasslands,2,E,
5121,E3,412,Seasonally wet and wet grasslands,2,E,
5121,E4,412,Alpine and subalpine grasslands,2,E,
5121,E5,349,Woodland fringes and clearings and tall forb stands,2,E,
5121,F4,412,Temperate shrub heathland,2,F,
5121,G,,Woodland and forest habitats and other wooded land,1,,
5121,G4,235,Mixed deciduous and coniferous woodland,2,G,Mixed conifer/broadleaf forest
5121,G5,412,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,G,
5121,H5,412,Miscellaneous inland habitats with very sparse or no vegetation,2,H,
5121,I1,446,Arable land and market gardens,2,I,Agricultural areas
5121,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
5121,J,76,"Constructed, industrial and other artificial habitats",1,,Ruderal
5130,F,,"Heathland, scrub and tundra habitats",1,,
5131,E,,Grassland and tall forb habitats,1,,
5131,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5134,D,,"Mire, bog and fen habitats",1,,
5134,F,,"Heathland, scrub and tundra habitats",1,,
5134,G,,Woodland and forest habitats and other wooded land,1,,
5134,G,451,Woodland and forest habitats and other wooded land,1,,Forest habitats
5134,G1,235,Broadleaved deciduous woodland,2,G,Temperate broadleaf forest
5134,I2,451,Cultivated areas of gardens and parks,2,I,parks
5134,J,446,"Constructed, industrial and other artificial habitats",1,,Urban areas
5138,D,,"Mire, bog and fen habitats",1,,
5138,E,,Grassland and tall forb habitats,1,,
5138,G,,Woodland and forest habitats and other wooded land,1,,
5138,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5139,G,,Woodland and forest habitats and other wooded land,1,,
5139,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5141,G,,Woodland and forest habitats and other wooded land,1,,
5143,G,,Woodland and forest habitats and other wooded land,1,,
5144,G,,Woodland and forest habitats and other wooded land,1,,
5147,F,,"Heathland, scrub and tundra habitats",1,,
5150,E,,Grassland and tall forb habitats,1,,
5150,G,,Woodland and forest habitats and other wooded land,1,,
5153,F,,"Heathland, scrub and tundra habitats",1,,
5153,J,,"Constructed, industrial and other artificial habitats",1,,
5157,G,,Woodland and forest habitats and other wooded land,1,,
5157,G,,Woodland and forest habitats and other wooded land,1,,
5158,D,363,"Mire, bog and fen habitats",1,,
5158,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5160,C,,Inland surface water habitats,1,,
5160,E,,Grassland and tall forb habitats,1,,
5160,G,,Woodland and forest habitats and other wooded land,1,,
5160,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5162,C,,Inland surface water habitats,1,,
5162,C,,Inland surface water habitats,1,,
5162,E,,Grassland and tall forb habitats,1,,
5162,G,,Woodland and forest habitats and other wooded land,1,,
5162,G,,Woodland and forest habitats and other wooded land,1,,
5162,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5164,B,,Coastal habitats,1,,
5164,C,,Inland surface water habitats,1,,
5164,C,,Inland surface water habitats,1,,
5164,D,,"Mire, bog and fen habitats",1,,
5164,G,,Woodland and forest habitats and other wooded land,1,,
5164,G,,Woodland and forest habitats and other wooded land,1,,
5166,B,,Coastal habitats,1,,
5166,C,,Inland surface water habitats,1,,
5166,C,,Inland surface water habitats,1,,
5166,C1,328,Surface standing waters,2,C,
5166,D,,"Mire, bog and fen habitats",1,,
5166,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5166,J,,"Constructed, industrial and other artificial habitats",1,,
5168,B,,Coastal habitats,1,,
5168,C,,Inland surface water habitats,1,,
5168,D,,"Mire, bog and fen habitats",1,,
5169,E,,Grassland and tall forb habitats,1,,
5169,F,,"Heathland, scrub and tundra habitats",1,,
5169,G,,Woodland and forest habitats and other wooded land,1,,
5169,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5173,C,,Inland surface water habitats,1,,
5176,F,,"Heathland, scrub and tundra habitats",1,,
5176,G,,Woodland and forest habitats and other wooded land,1,,
5178,E,,Grassland and tall forb habitats,1,,
5178,G,,Woodland and forest habitats and other wooded land,1,,
5179,B,,Coastal habitats,1,,
5179,C,,Inland surface water habitats,1,,
5179,D,,"Mire, bog and fen habitats",1,,
5182,C,,Inland surface water habitats,1,,
5182,F,,"Heathland, scrub and tundra habitats",1,,
5182,G,,Woodland and forest habitats and other wooded land,1,,
5182,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5183,F,,"Heathland, scrub and tundra habitats",1,,
5183,G,,Woodland and forest habitats and other wooded land,1,,
5183,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5184,B,,Coastal habitats,1,,
5184,C,,Inland surface water habitats,1,,
5185,G,,Woodland and forest habitats and other wooded land,1,,
5186,E,,Grassland and tall forb habitats,1,,
5186,F,,"Heathland, scrub and tundra habitats",1,,
5186,G,,Woodland and forest habitats and other wooded land,1,,
5187,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5188,E,,Grassland and tall forb habitats,1,,
5188,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5188,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5189,B,,Coastal habitats,1,,
5189,C,,Inland surface water habitats,1,,
5189,D,,"Mire, bog and fen habitats",1,,
5191,G,,Woodland and forest habitats and other wooded land,1,,
5191,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5196,C,162,Inland surface water habitats,1,,
5196,C2,328,Surface running waters,2,C,
5196,C3,191,Littoral zone of inland surface waterbodies,2,C,Stream sides and other damp places
5196,D,,"Mire, bog and fen habitats",1,,
5196,D,76,"Mire, bog and fen habitats",1,,Marsh
5196,E,,Grassland and tall forb habitats,1,,
5196,E3,328,Seasonally wet and wet grasslands,2,E,
5196,F9,361,Riverine and fen scrubs,2,F,
5196,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5196,J,,"Constructed, industrial and other artificial habitats",1,,
5196,J,162,"Constructed, industrial and other artificial habitats",1,,
5196,J5,191,Highly artificial man-made waters and associated structures,2,J,Stream sides and other damp places
5205,E,,Grassland and tall forb habitats,1,,
5205,G,,Woodland and forest habitats and other wooded land,1,,
5208,F,,"Heathland, scrub and tundra habitats",1,,
5208,F,,"Heathland, scrub and tundra habitats",1,,
5208,G,,Woodland and forest habitats and other wooded land,1,,
5208,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5210,C,162,Inland surface water habitats,1,,
5210,D,329,"Mire, bog and fen habitats",1,,
5210,D2,107,"Valley mires, poor fens and transition mires",2,D,
5210,F9,107,Riverine and fen scrubs,2,F,
5210,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5210,I,162,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5210,I2,379,Cultivated areas of gardens and parks,2,I,
5210,J,,"Constructed, industrial and other artificial habitats",1,,
5210,J,336,"Constructed, industrial and other artificial habitats",1,,
5210,J2,372,Low density buildings,2,J,
5210,J4,379,Transport networks and other constructed hard-surfaced areas,2,J,
5210,J5,379,Highly artificial man-made waters and associated structures,2,J,
5227,C,162,Inland surface water habitats,1,,
5229,G,,Woodland and forest habitats and other wooded land,1,,
5229,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5229,I,142,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5230,D6,107,Inland saline and brackish marshes and reedbeds,2,D,
5230,F,,"Heathland, scrub and tundra habitats",1,,
5230,G,,Woodland and forest habitats and other wooded land,1,,
5230,G,,Woodland and forest habitats and other wooded land,1,,
5230,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5230,I,329,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5237,G,,Woodland and forest habitats and other wooded land,1,,
5237,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5237,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5240,C,,Inland surface water habitats,1,,
5240,C,336,Inland surface water habitats,1,,
5240,E,,Grassland and tall forb habitats,1,,
5240,F,,"Heathland, scrub and tundra habitats",1,,
5240,G,,Woodland and forest habitats and other wooded land,1,,
5240,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5240,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5240,I,162,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5240,J,,"Constructed, industrial and other artificial habitats",1,,
5240,J,336,"Constructed, industrial and other artificial habitats",1,,
5241,C,336,Inland surface water habitats,1,,
5241,C1,328,Surface standing waters,2,C,
5241,C3,76,Littoral zone of inland surface waterbodies,2,C,Waterways
5241,D,76,"Mire, bog and fen habitats",1,,Marsh
5241,D5,107,"Sedge and reedbeds, normally without free-standing water",2,D,
5241,E,336,Grassland and tall forb habitats,1,,
5241,F,,"Heathland, scrub and tundra habitats",1,,
5241,G,,Woodland and forest habitats and other wooded land,1,,
5241,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5241,H3,427,"Inland cliffs, rock pavements and outcrops",2,H,
5241,J,142,"Constructed, industrial and other artificial habitats",1,,
5241,J4,76,Transport networks and other constructed hard-surfaced areas,2,J,Roadsides
5241,J5,76,Highly artificial man-made waters and associated structures,2,J,Ditches
5241,J6,427,Waste deposits,2,J,
5248,C3,379,Littoral zone of inland surface waterbodies,2,C,
5248,D,76,"Mire, bog and fen habitats",1,,Marsh
5248,E,333,Grassland and tall forb habitats,1,,"cultivated ground, pastures, waste places, roadsides."
5248,E3,,Seasonally wet and wet grasslands,2,E,
5248,I,333,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,"cultivated ground, pastures, waste places, roadsides."
5248,I1,76,Arable land and market gardens,2,I,Cultivated fields
5248,J,76,"Constructed, industrial and other artificial habitats",1,,Disturbed sites
5248,J5,76,Highly artificial man-made waters and associated structures,2,J,Ditches
5256,F,,"Heathland, scrub and tundra habitats",1,,
5256,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5256,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5257,F,,"Heathland, scrub and tundra habitats",1,,
5257,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5259,F,,"Heathland, scrub and tundra habitats",1,,
5259,G,,Woodland and forest habitats and other wooded land,1,,
5259,H,,Inland unvegetated or sparsely vegetated habitats,1,,
5264,C,363,Inland surface water habitats,1,,
5264,E,,Grassland and tall forb habitats,1,,
5264,G,,Woodland and forest habitats and other wooded land,1,,
5264,G,,Woodland and forest habitats and other wooded land,1,,
5266,I,162,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5272,B1,53,Coastal dunes and sandy shores,2,B,"sea shore int the old Venetian harbour, moist and sandy places"
5279,G,,Woodland and forest habitats and other wooded land,1,,
5281,J,363,"Constructed, industrial and other artificial habitats",1,,
5284,D,329,"Mire, bog and fen habitats",1,,
5287,C,,Inland surface water habitats,1,,
5291,X10,,Mixed landscapes with a woodland element (bocages),2,X,
5292,D,329,"Mire, bog and fen habitats",1,,
5294,E,,Grassland and tall forb habitats,1,,
5294,E,,Grassland and tall forb habitats,1,,
5294,F,,"Heathland, scrub and tundra habitats",1,,
5294,F,,"Heathland, scrub and tundra habitats",1,,
5294,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5294,I,329,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5296,D,76,"Mire, bog and fen habitats",1,,Marsh
5296,J,363,"Constructed, industrial and other artificial habitats",1,,
5300,D,162,"Mire, bog and fen habitats",1,,
5303,D,162,"Mire, bog and fen habitats",1,,
5307,D,162,"Mire, bog and fen habitats",1,,
5307,I,162,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5308,D,222,"Mire, bog and fen habitats",1,,
5309,C3,107,Littoral zone of inland surface waterbodies,2,C,
5309,I,162,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5309,I1,107,Arable land and market gardens,2,I,rice fields
5312,D,162,"Mire, bog and fen habitats",1,,
5312,I,162,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5312,I1,107,Arable land and market gardens,2,I,rice fields
5316,I1,69,Arable land and market gardens,2,I,rice fields
5317,D,329,"Mire, bog and fen habitats",1,,
5319,D,142,"Mire, bog and fen habitats",1,,
5325,I,329,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5326,C,162,Inland surface water habitats,1,,
5328,C,162,Inland surface water habitats,1,,
5334,D1,107,Raised and blanket bogs,2,D,
5334,I1,107,Arable land and market gardens,2,I,rice fields
5342,J6,328,Waste deposits,2,J,
5349,J6,328,Waste deposits,2,J,
5355,C1,328,Surface standing waters,2,C,
5355,E3,328,Seasonally wet and wet grasslands,2,E,
5355,G1,328,Broadleaved deciduous woodland,2,G,
5371,B1,160,Coastal dunes and sandy shores,2,B,
5372,C,203,Inland surface water habitats,1,,
5380,C,162,Inland surface water habitats,1,,
5380,C1,107,Surface standing waters,2,C,
5380,D,329,"Mire, bog and fen habitats",1,,
5380,D1,107,Raised and blanket bogs,2,D,
5380,J,,"Constructed, industrial and other artificial habitats",1,,
5380,J5,107,Highly artificial man-made waters and associated structures,2,J,
5407,I,329,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5407,I1,66,Arable land and market gardens,2,I,aquatic weed in rice fields
5411,C,162,Inland surface water habitats,1,,
5411,I1,69,Arable land and market gardens,2,I,aquatic weed in rice fields
5413,I,162,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
5413,I1,69,Arable land and market gardens,2,I,aquatic weed in rice fields
